runnerId,runTime,latitude,longitude,altitude,distance,heartRate,speed,session
123,1697202000,61.49964237,23.75959083,97.80000305,0,123,1.437000036,XYZ
123,1697202001,61.49965829,23.75958648,97,1.789999962,124,1.773000002,XYZ
123,1697202002,61.4996743,23.7595822,97.59999847,3.529999971,126,1.773000002,XYZ
123,1697202003,61.49969274,23.75958773,97.80000305,5.599999905,127,1.773000002,XYZ
123,1697202004,61.49970766,23.75958094,98,7.239999771,129,1.781999946,XYZ
123,1697202005,61.49972275,23.75957927,98,8.890000343,130,1.773000002,XYZ
123,1697202006,61.49974161,23.75957885,98.19999695,10.97999954,131,1.764000058,XYZ
123,1697202007,61.49975896,23.75958069,98,12.92000008,133,1.773000002,XYZ
123,1697202008,61.49978343,23.75958145,98.19999695,15.61999989,135,1.791000009,XYZ
123,1697202009,61.49980749,23.75957726,98.40000153,18.29000092,136,1.847000003,XYZ
123,1697202010,61.49983364,23.75956577,98.19999695,21.27000046,136,1.894000053,XYZ
123,1697202011,61.49986189,23.7595496,98.40000153,24.52000046,138,1.958999991,XYZ
123,1697202012,61.49989089,23.75953719,98.59999847,27.81999969,139,2.042999983,XYZ
123,1697202013,61.49991981,23.75953275,98.59999847,31.04000092,140,2.108999968,XYZ
123,1697202014,61.49994328,23.75953023,98.59999847,33.65999985,141,2.174000025,XYZ
123,1697202015,61.49997043,23.75952009,98.40000153,36.70000076,141,2.210999966,XYZ
123,1697202016,61.49999818,23.75950861,98.40000153,39.84000015,142,2.249000072,XYZ
123,1697202017,61.50002651,23.75949562,98.40000153,43.06999969,143,2.295000076,XYZ
123,1697202018,61.50005434,23.75948338,98.40000153,46.24000168,144,2.342000008,XYZ
123,1697202019,61.50008309,23.75946946,98.59999847,49.49000168,144,2.388999939,XYZ
123,1697202020,61.50010547,23.75945974,98.59999847,51.90000153,144,2.426000118,XYZ
123,1697202021,61.50013288,23.75944139,98.80000305,55.02000046,145,2.463000059,XYZ
123,1697202022,61.5001602,23.75942403,98.80000305,58.20000076,145,2.490999937,XYZ
123,1697202023,61.50019574,23.75941473,99,62.20000076,146,2.529000044,XYZ
123,1697202024,61.50023044,23.75941448,99,66.05000305,147,2.650000095,XYZ
123,1697202025,61.50026439,23.75942496,99,69.87000275,147,2.892999887,XYZ
123,1697202026,61.50029716,23.75943133,99,73.54000092,149,2.938999891,XYZ
123,1697202027,61.50033102,23.75943694,99.19999695,77.29000092,149,2.957999945,XYZ
123,1697202028,61.50037553,23.75943401,99.40000153,82.25,150,2.986000061,XYZ
123,1697202029,61.50043915,23.75938087,99.59999847,89.41999817,151,3.032000065,XYZ
123,1697202030,61.50049707,23.75933401,99.80000305,95.91000366,153,3.434000015,XYZ
123,1697202031,61.50053093,23.75932421,100,99.68000031,153,4.039999962,XYZ
123,1697202032,61.50057167,23.75930191,100,104.2900009,155,4.31099987,XYZ
123,1697202033,61.50060779,23.75928707,100.1999969,108.3499985,155,4.263999939,XYZ
123,1697202034,61.50064241,23.75926411,100.4000015,112.3000031,156,4.328999996,XYZ
123,1697202035,61.5006741,23.75925589,100.1999969,115.8700027,155,4.375999928,XYZ
123,1697202036,61.50070259,23.75924584,100.1999969,119.0800018,156,4.413000107,XYZ
123,1697202037,61.50073302,23.75922756,100.5999985,122.6100006,156,4.43200016,XYZ
123,1697202038,61.5007611,23.75921834,100.8000031,125.7699966,157,4.451000214,XYZ
123,1697202039,61.50078608,23.75919948,101,128.7200012,158,4.460000038,XYZ
123,1697202040,61.50080645,23.7591714,101.1999969,131.4299927,158,4.451000214,XYZ
123,1697202041,61.50082799,23.75913419,101.4000015,134.5299988,159,4.440999985,XYZ
123,1697202042,61.50084903,23.75909722,101.4000015,137.5899963,159,4.422999859,XYZ
123,1697202043,61.50086747,23.75906864,101.4000015,140.1499939,159,4.394999981,XYZ
123,1697202044,61.50088389,23.75903998,101.5999985,142.5299988,159,4.367000103,XYZ
123,1697202045,61.50090108,23.759015,101.8000031,144.8699951,160,4.320000172,XYZ
123,1697202046,61.50091843,23.75899178,102,147.1499939,161,4.272999763,XYZ
123,1697202047,61.50093603,23.75897351,102.1999969,149.3399963,161,4.227000237,XYZ
123,1697202048,61.50095346,23.75896395,102.5999985,151.3300018,162,4.160999775,XYZ
123,1697202049,61.50096579,23.75894845,102.8000031,152.9299927,163,4.105999947,XYZ
123,1697202050,61.50097542,23.75891902,102.8000031,154.8200073,162,4.031000137,XYZ
123,1697202051,61.50099328,23.75888273,102.8000031,157.5700073,163,3.96600008,XYZ
123,1697202052,61.50101348,23.75886513,102.8000031,160.0099945,164,3.891000032,XYZ
123,1697202053,61.50103427,23.75884677,103.1999969,162.4900055,163,3.815999985,XYZ
123,1697202054,61.50105027,23.75884635,103.1999969,164.2599945,164,3.742000103,XYZ
123,1697202055,61.50107307,23.75883671,103.1999969,166.8399963,164,3.676000118,XYZ
123,1697202056,61.50110568,23.75883579,103.1999969,170.3899994,164,3.611000061,XYZ
123,1697202057,61.50114231,23.75880679,103.4000015,174.7400055,164,3.546000004,XYZ
123,1697202058,61.50118439,23.75879338,103.4000015,179.4499969,165,3.499000072,XYZ
123,1697202059,61.50122755,23.75876228,103.4000015,184.4900055,165,3.470999956,XYZ
123,1697202060,61.50126385,23.75875072,103.4000015,188.5800018,164,3.451999903,XYZ
123,1697202061,61.5013045,23.75873169,103.5999985,193.1900024,167,3.443000078,XYZ
