runnerId,runTime,latitude,longitude,altitude,distance,heartRate,speed
123,1635,61.51449057,23.77783178,105.8000031,5819.669922,179,3.424000025
123,1636,61.51446233,23.7778778,105.8000031,5823.660156,178,3.424000025
123,1637,61.51443793,23.77792139,105.8000031,5827.22998,179,3.424000025
123,1638,61.51441363,23.77796195,105.5999985,5830.689941,179,3.434000015
123,1639,61.5143894,23.77800269,105.8000031,5834.160156,178,3.434000015
123,1640,61.51436543,23.77804695,105.8000031,5837.709961,179,3.434000015
123,1641,61.51434079,23.77809623,105.8000031,5841.5,179,3.443000078
123,1642,61.51432218,23.77814384,105.8000031,5844.680176,178,3.443000078
123,1643,61.51429477,23.77818173,106,5848.319824,178,3.443000078
123,1644,61.5142672,23.77821232,106,5851.799805,179,3.443000078
123,1645,61.51423953,23.77824359,105.8000031,5855.290039,178,3.451999903
123,1646,61.51421397,23.77828047,105.5999985,5858.759766,179,3.451999903
123,1647,61.51419352,23.77830721,105.8000031,5861.439941,179,3.451999903
123,1648,61.51417131,23.77833394,105.8000031,5864.290039,179,3.451999903
123,1649,61.51414448,23.77835624,105.8000031,5867.470215,179,3.451999903
123,1650,61.51412378,23.77837879,106,5870.069824,178,3.451999903
123,1651,61.51409713,23.77843771,106,5874.379883,179,3.443000078
123,1652,61.51407273,23.778488,106,5878.180176,179,3.443000078
123,1653,61.51404281,23.77854181,106.1999969,5882.580078,179,3.443000078
123,1654,61.51401322,23.77857945,106.1999969,5886.399902,179,3.443000078
123,1655,61.51398372,23.77861231,106.1999969,5890.080078,179,3.443000078
123,1656,61.51395799,23.77865204,106.4000015,5893.640137,179,3.443000078
123,1657,61.51393561,23.7786838,106.5999985,5896.640137,180,3.443000078
123,1658,61.51391373,23.77871876,106.8000031,5899.680176,179,3.443000078
123,1659,61.51389521,23.7787574,107,5902.5,180,3.451999903
123,1660,61.51388456,23.77881532,106.8000031,5905.799805,178,3.443000078
123,1661,61.51387727,23.77888246,106.8000031,5909.470215,179,3.443000078
123,1662,61.51387492,23.77895404,106.5999985,5913.279785,179,3.443000078
123,1663,61.5138761,23.77902411,107,5917.009766,179,3.443000078
123,1664,61.51387802,23.7790972,107,5920.910156,180,3.443000078
123,1665,61.51388112,23.77916576,107,5924.569824,179,3.443000078
123,1666,61.51388867,23.77923659,107,5928.430176,180,3.443000078
123,1667,61.51389512,23.77931253,107,5932.52002,179,3.451999903
123,1668,61.51390116,23.77938394,107.4000015,5936.359863,180,3.451999903
123,1669,61.5139108,23.77945477,107.1999969,5940.240234,179,3.461999893
123,1670,61.51392748,23.7795375,107.1999969,5944.990234,179,3.461999893
123,1671,61.51394726,23.77960799,107.1999969,5949.339844,179,3.470999956
123,1672,61.51396846,23.77967362,107,5953.560059,179,3.480000019
123,1673,61.51399168,23.77973506,107,5957.720215,180,3.49000001
123,1674,61.5140154,23.7797991,106.8000031,5962.009766,179,3.499000072
123,1675,61.51403879,23.77985744,106.8000031,5966.040039,180,3.517999887
123,1676,61.51406377,23.77991142,107,5969.950195,179,3.52699995
123,1677,61.51409168,23.7799607,107.1999969,5973.970215,179,3.546000004
123,1678,61.51411967,23.78001133,107.4000015,5978.049805,181,3.555000067
123,1679,61.5141465,23.78006774,107.4000015,5982.180176,180,3.563999891
123,1680,61.51417843,23.78011887,107.1999969,5986.600098,179,3.582999945
123,1681,61.51420894,23.78016866,107.1999969,5990.879883,182,3.592000008
123,1682,61.51424088,23.78022674,107.1999969,5995.540039,180,3.611000061
123,1683,61.51426946,23.78027402,107.4000015,5999.569824,180,3.619999886
123,1684,61.51429896,23.78031811,107.1999969,6003.560059,180,3.638999939
123,1685,61.51432939,23.78036974,107.5999985,6007.839844,179,3.648000002
123,1686,61.51432939,23.78036974,107.5999985,6007.839844,179,3.648000002
123,1687,61.51435881,23.78042397,107.5999985,6012.120117,179,3.667000055
123,1688,61.51438739,23.78048105,107.5999985,6016.450195,180,3.676000118
123,1689,61.51441296,23.78053176,107.4000015,6020.27002,180,3.694999933
123,1690,61.51444112,23.7805699,107.5999985,6024,180,3.703999996
123,1691,61.5144692,23.78060301,107.5999985,6027.580078,180,3.72300005
123,1692,61.51449585,23.7806393,107.5999985,6031.120117,180,3.732000113
123,1693,61.51452083,23.78068079,107.4000015,6034.680176,181,3.742000103
123,1694,61.51454086,23.78073033,107.4000015,6038.129883,180,3.750999928
123,1695,61.51455235,23.7807885,107.5999985,6041.399902,180,3.750999928
123,1696,61.51456073,23.78084307,107.5999985,6044.439941,180,3.75999999
123,1697,61.51456961,23.78090149,107.5999985,6047.700195,180,3.75999999
123,1698,61.51457842,23.78096276,107.4000015,6051.089844,180,3.75999999
123,1699,61.51458914,23.78102512,107.1999969,6054.600098,180,3.75999999
123,1700,61.51459929,23.78108933,107.4000015,6058.169922,181,3.750999928
123,1701,61.51461848,23.7812117,107.4000015,6064.97998,180,3.750999928
123,1702,61.51461848,23.7812117,107.4000015,6064.97998,179,3.742000103
123,1703,61.51462988,23.78127121,107.4000015,6068.390137,180,3.742000103
123,1704,61.51463591,23.78134472,107.4000015,6072.350098,180,3.732000113
123,1705,61.51463944,23.78141505,107.4000015,6076.109863,180,3.732000113
123,1706,61.51463541,23.78149149,107.1999969,6080.200195,180,3.72300005
123,1707,61.51462535,23.78155821,107,6083.919922,179,3.72300005
123,1708,61.51460834,23.7816194,107.1999969,6087.660156,179,3.72300005
123,1709,61.51458881,23.78167723,107.1999969,6091.430176,180,3.713999987
123,1710,61.51456869,23.7817323,107.1999969,6095.120117,179,3.713999987
123,1711,61.51454757,23.7817888,107.1999969,6098.930176,179,3.713999987
123,1712,61.5145189,23.78191243,107,6106.27002,179,3.713999987
123,1713,61.5145189,23.78191243,106.8000031,6106.27002,179,3.713999987
123,1714,61.51451094,23.78198016,106.8000031,6109.97998,178,3.713999987
123,1715,61.51450893,23.78205006,106.8000031,6113.689941,179,3.713999987
123,1716,61.51450725,23.78211946,106.8000031,6117.390137,179,3.703999996
123,1717,61.51450373,23.78218811,106.8000031,6121.060059,180,3.703999996
123,1718,61.51449803,23.78225022,106.8000031,6124.419922,179,3.703999996
123,1719,61.51449007,23.78230973,106.8000031,6130.910156,178,3.703999996
123,1720,61.51448135,23.78236715,107,6130.910156,178,3.703999996
123,1721,61.51446995,23.78242783,106.5999985,6134.379883,178,3.703999996
123,1722,61.5144573,23.78248223,106.5999985,6137.600098,179,3.694999933
123,1723,61.51444464,23.78254216,106.5999985,6141.080078,178,3.694999933
123,1724,61.51442746,23.78259857,106.8000031,6144.629883,179,3.686000109
123,1725,61.51440944,23.78265129,106.8000031,6148.089844,178,3.686000109
123,1726,61.51439192,23.78270284,106.8000031,6151.419922,177,3.676000118
123,1727,61.51435101,23.7827968,106.5999985,6158.140137,178,3.667000055
123,1728,61.51435101,23.7827968,106.5999985,6158.140137,178,3.667000055
123,1729,61.51430106,23.78286671,106.5999985,6164.850098,178,3.657999992
123,1730,61.51427323,23.78289135,106.5999985,6168.209961,179,3.657999992
123,1731,61.51427323,23.78289135,106.8000031,6168.209961,178,3.648000002
123,1732,61.51424473,23.78291206,106.8000031,6171.569824,178,3.638999939
123,1733,61.51421623,23.78292656,107,6174.819824,176,3.638999939
123,1734,61.51418631,23.78293158,107,6178.180176,178,3.630000114
123,1735,61.51413325,23.78294332,107.1999969,6184.120117,177,3.619999886
123,1736,61.51413325,23.78294332,107.4000015,6184.120117,177,3.619999886
123,1737,61.51410475,23.78294609,107.4000015,6187.299805,176,3.611000061
123,1738,61.5140755,23.78293837,107.1999969,6190.580078,178,3.601999998
123,1739,61.51404776,23.78292681,107.1999969,6193.740234,177,3.592000008
123,1740,61.51401985,23.78290317,107.1999969,6197.069824,178,3.582999945
123,1741,61.51396184,23.78285531,107.1999969,6203.990234,177,3.573999882
123,1742,61.51396184,23.78285531,107.4000015,6203.990234,178,3.563999891
123,1743,61.51393284,23.78283218,107.1999969,6207.390137,178,3.555000067
123,1744,61.51390686,23.7828212,107.1999969,6210.339844,177,3.546000004
123,1745,61.51388071,23.78280921,107,6213.330078,177,3.536000013
123,1746,61.51385548,23.78278675,107,6216.379883,178,3.536000013
123,1747,61.51382874,23.78276118,106.8000031,6219.640137,177,3.52699995
123,1748,61.51377509,23.78271081,106.8000031,6226.180176,178,3.517999887
123,1749,61.51377509,23.78271081,106.8000031,6226.180176,177,3.507999897
123,1750,61.51371466,23.78266445,106.5999985,6233.339844,178,3.499000072
123,1751,61.51371466,23.78266445,107,6233.339844,177,3.49000001
123,1752,61.51368457,23.78264735,107,6236.819824,178,3.480000019
123,1753,61.51365448,23.78263067,107,6240.290039,177,3.480000019
123,1754,61.51362447,23.78261659,107.1999969,6243.709961,177,3.470999956
123,1755,61.5135953,23.78260519,107.4000015,6247.02002,176,3.470999956
123,1756,61.51356504,23.78259757,107.5999985,6250.399902,177,3.461999893
123,1757,61.51353311,23.78259354,107.8000031,6253.959961,177,3.461999893
123,1758,61.51350285,23.78259723,107.8000031,6257.330078,177,3.461999893
123,1759,61.51347175,23.78260838,108.1999969,6260.850098,177,3.451999903
123,1760,61.51344099,23.7826259,108.5999985,6264.399902,178,3.451999903
123,1761,61.51340964,23.7826404,109,6267.97998,177,3.451999903
123,1762,61.51338249,23.78264853,109.4000015,6271.02002,177,3.451999903
123,1763,61.5133586,23.78264316,109.8000031,6273.689941,179,3.451999903
123,1764,61.51333898,23.78261735,109.8000031,6276.25,178,3.451999903
123,1765,61.51332381,23.78257611,110,6279.02002,178,3.443000078
123,1766,61.51330914,23.78252422,110.1999969,6282.22998,178,3.434000015
123,1767,61.51329573,23.78247385,110.1999969,6285.299805,179,3.434000015
123,1768,61.51327981,23.7824166,110.4000015,6288.819824,179,3.424000025
123,1769,61.51326388,23.78236128,110.5999985,6292.259766,180,3.414999962
123,1770,61.51324745,23.78231074,110.5999985,6295.509766,179,3.405999899
123,1771,61.51321367,23.78221091,110.4000015,6302.02002,179,3.395999908
123,1772,61.51321367,23.78221091,110.4000015,6302.02002,180,3.395999908
123,1773,61.51319423,23.78215668,110.5999985,6305.629883,180,3.387000084
123,1774,61.5131788,23.7821032,110.4000015,6308.939941,181,3.387000084
123,1775,61.51316497,23.78204713,110.5999985,6312.299805,180,3.387000084
123,1776,61.51315307,23.78198686,110.5999985,6315.77002,180,3.378000021
123,1777,61.51314335,23.7819219,110.4000015,6319.390137,181,3.378000021
123,1778,61.51313522,23.78185635,110.4000015,6322.990234,181,3.378000021
